Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base
2030,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,10.7,10.61,11.07
2050,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,6.50,6.35,7.41
2030,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,24.02,23.05,28.39
2050,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,10.91,9.26,17.57
2030,SanitAccessImpNumb,Improved sanitation access (number of people),HDI High,3012,3024,2963
2050,SanitAccessImpNumb,Improved sanitation access (number of people),HDI High,3131,3130,3043
2030,Sanitation%Improved,Improved sanitation access (percent),HDI High,97.19,97.6,95.58
2050,Sanitation%Improved,Improved sanitation access (percent),HDI High,100,100,97.01
2030,WatSafImpNumb,Improved water access (number of people),HDI High,3038,3044,3008
2050,WatSafImpNumb,Improved water access (number of people),HDI High,3131,3130,3080
2030,Water%Improved,Improved water access (percent) ,HDI High,98,98.25,97.04
2050,Water%Improved,Improved water access (percent) ,HDI High,100,100,98.21
2030,MALNCHIL,Malnourished children under 5 (number of children),HDI High,9.69,9.55,10.06
2050,MALNCHIL,Malnourished children under 5 (number of children),HDI High,5.82,5.80,6.41
2030,MALNCHP,Malnourished children under 5 (percent) ,HDI High,5.44,5.39,5.64
2050,MALNCHP,Malnourished children under 5 (percent) ,HDI High,3.76,3.75,4.04
2030,MalnPop,Malnourished population (number of people),HDI High,39.39,37.28,50.39
2050,MalnPop,Malnourished population (number of people),HDI High,4.69,4.34,18.91
2030,MALNPOPP,Malnourished population (percent) ,HDI High,1.27,1.20,1.63
2050,MALNPOPP,Malnourished population (percent) ,HDI High,0.15,0.14,0.60
2030,MATMORTRATIO,Maternal mortality (ratio),HDI High,46.35,45.92,47.2
2050,MATMORTRATIO,Maternal mortality (ratio),HDI High,24.99,24.58,26.15
2030,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI High,7.1695,6.9365,6.9888
2050,NEONATMOR,Neonatal mortality rate (number of neonatal deaths per 1000 live births),HDI High,4.6480,4.0619,4.1467
2030,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI High,40.65,38.84,48.22
2050,INCOMELT190LN,Poverty <$1.90 per day (number of people),HDI High,19.95,16.22,32.26
