Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base
2019,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,12.83,12.83,12.83
2020,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,13.15,13.15,13.15
2021,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,12.92,12.92,12.92
2022,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,12.7,12.7,12.7
2023,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,12.61,12.61,12.61
2024,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,12.51,12.47,12.51
2025,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,12.3,12.23,12.33
2026,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,12.02,11.92,12.1
2027,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,11.67,11.59,11.84
2028,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,11.33,11.26,11.57
2029,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,11.01,10.93,11.31
2030,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,10.7,10.61,11.07
2031,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,10.42,10.32,10.85
2032,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,10.15,10.02,10.64
2033,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,9.88325,9.76124,10.43
2034,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,9.64847,9.51022,10.23
2035,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,9.41009,9.25953,10.02
2036,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,9.16766,9.00802,9.81861
2037,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,8.92307,8.76984,9.6122
2038,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,8.68958,8.53413,9.41806
2039,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,8.4563,8.30022,9.22541
2040,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,8.22899,8.07091,9.03453
2041,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,8.00674,7.8463,8.8448
2042,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,7.79065,7.63017,8.65966
2043,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,7.58539,7.44943,8.47834
2044,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,7.4163,7.27598,8.30484
2045,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,7.25208,7.10724,8.13789
2046,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,7.09298,6.94582,7.97876
2047,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,6.93774,6.78715,7.82609
2048,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,6.78751,6.6329,7.68145
2049,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,6.64337,6.48678,7.5452
2050,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,6.50445,6.35084,7.41314
2051,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,6.374,6.2205,7.28504
2052,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,6.24598,6.09371,7.16137
2053,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,6.12042,5.96934,7.04485
2054,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,5.99658,5.84813,6.93418
2055,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,5.87427,5.72747,6.82491
2056,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,5.75289,5.6099,6.7229
2057,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,5.63365,5.49319,6.61698
2058,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,5.51466,5.37792,6.51067
2059,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,5.3965,5.26243,6.4028
2060,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,5.27774,5.14671,6.29462
2061,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,5.15924,5.0306,6.18545
2062,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,5.04074,4.91578,6.07728
2063,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,4.92409,4.80172,5.96902
2064,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,4.80864,4.69091,5.8625
2065,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,4.69539,4.58273,5.75564
2066,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,4.58398,4.47564,5.65297
2067,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,4.47477,4.37018,5.55003
2068,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,4.36719,4.26705,5.44852
2069,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,4.2633,4.16712,5.34845
2070,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,4.16218,4.06948,5.25134
2071,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,4.06363,3.97475,5.15673
2072,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.96827,3.88342,5.06528
2073,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.87585,3.79562,4.97616
2074,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.7869,3.71168,4.89011
2075,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.70145,3.63075,4.80694
2076,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.61986,3.5536,4.72657
2077,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.54161,3.47948,4.6486
2078,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.46707,3.40847,4.57363
2079,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.39591,3.33891,4.50079
2080,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.32734,3.27187,4.42966
2081,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.26036,3.20639,4.3598
2082,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.19507,3.14318,4.29205
2083,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.13185,3.08319,4.22575
2084,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.0714,3.02514,4.16065
2085,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,3.01388,2.96882,4.09687
2086,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.95815,2.91409,4.03422
2087,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.90394,2.8609,3.9729
2088,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.8514,2.80948,3.91283
2089,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.80056,2.75941,3.85364
2090,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.75194,2.71081,3.79567
2091,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.70403,2.66399,3.73854
2092,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.65772,2.61891,3.68251
2093,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.61314,2.57524,3.62756
2094,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.57148,2.53441,3.57413
2095,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.5312,2.4953,3.52153
2096,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.49221,2.45735,3.46969
2097,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.45427,2.42052,3.41873
2098,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.41754,2.38483,3.36893
2099,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.38317,2.35138,3.32195
2100,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI High,2.34972,2.31899,3.27592
2019,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,34.89,34.89,34.89
2020,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,39.85,39.85,39.85
2021,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,37.39,37.39,37.39
2022,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,36.29,36.29,36.29
2023,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,34.74,34.74,34.74
2024,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,33.05,31.91,33.05
2025,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,30.42,29.38,31.52
2026,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,28.43,27.62,30.41
2027,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,27.03,26.35,29.66
2028,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,26.3,25.59,29.27
2029,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,25.28,24.48,29
2030,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,24.02,23.05,28.39
2031,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,22.63,21.56,27.5
2032,POVCOUNTF,Female poverty headcount (number of people) ,HDI High,21.2,19.94,26.61
