Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base,,
2019,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,36.31,36.31,36.31,,
2020,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,37.49,37.49,37.49,,
2021,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,36.36,36.36,36.36,,
2022,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,34.7,34.7,34.7,,
2023,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,33.68,33.68,33.68,,
2024,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,32.73,32.53,32.73,,
2025,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,31.5,31.25,31.68,,
2026,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,30.29,29.97,30.64,,
2027,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,29.13,28.85,29.79,,
2028,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,28.01,27.78,28.93,,
2029,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,27,26.81,28.13,,
2030,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,26.08,25.99,27.39,,
2031,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,25.37,25.28,26.7,,
2032,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,24.7,24.56,26.05,,
2033,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,24.01,23.81,25.51,,
2034,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,23.31,23.05,24.99,,
2035,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,22.57,22.27,24.46,,
2036,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,21.8,21.49,23.9,,
2037,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,21.05,20.77,23.32,,
2038,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,20.37,20.08,22.72,,
2039,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,19.7,19.42,22.13,,
2040,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,19.08,18.78,21.56,,
2041,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,18.47,18.17,21.02,,
2042,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,17.88,17.57,20.49,,
2043,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,17.32,16.99,19.98,,
2044,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,16.77,16.44,19.49,,
2045,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,16.24,15.9,19.01,,
2046,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Medium,15.73,15.38,18.55,,
