Year,indicator,description,hdi group,SDG Push No,JETSDG9,Base
2019,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,74.91,74.91,74.91
2020,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,75.07,75.07,75.07
2021,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,73.95,73.95,73.95
2022,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,72.23,72.23,72.23
2023,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,71.12,71.12,71.12
2024,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,69.68,69.08,69.68
2025,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,67.61,67.33,68.17
2026,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,65.81,65.29,66.6
2027,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,63.63,63.19,64.97
2028,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,61.53,61.16,63.31
2029,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,59.53,59.2,61.72
2030,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,57.68,57.36,60.24
2031,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,55.96,55.61,58.84
2032,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,54.32,53.9,57.53
2033,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,52.74,52.23,56.26
2034,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,51.21,50.62,55.04
2035,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,49.72,49.06,53.83
2036,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,48.24,47.55,52.65
2037,ChildMort5Yrs,Children under 5 mortality (rate per 1000 live births) ,HDI Low,46.8,46.16,51.47
